Subject,unit
https://w3id.org/italia/env/ld/ihi/economicindicator/rn074a/108_17,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_0788/xm1_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/no159a/101_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/390/991_17,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/372/022_9,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/646/991_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7443/xm1_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/pz037a/101_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/099/071_5,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/fg070a/101_6,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_0100/xm1_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_0469/xm1_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/16ir521/g11_9,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/mo002b/1015_23,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/01ira44/g17_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/10ir021/g11_25,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/608/991_7,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/113/081_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7118/xm1_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/at050a/101_25,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/122/991_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/lu014a/101_4,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/cs116b/101_11,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/01ira48/g12_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2508/xm1_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/18ir096/g11_1,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_5448/xm1_3,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/03ir006/g31_4,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/fg018a/101_13,http://qudt.org/1.1/vocab/unit#Euro
https://w3id.org/italia/env/ld/ihi/economicindicator/05ir017/g91_10,http://qudt.org/1.1/vocab/unit#Euro
