Subject,hasAgreement
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4424/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4424/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3540/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_3540/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1898/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1898/xm
https://w3id.org/italia/env/ld/ihi/intervention/me119a/10,https://w3id.org/italia/env/ld/ihi/agreement/me119a/10
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0044/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_0044/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2943/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_2943/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1762/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@23_1762/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1537/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1537/xm
https://w3id.org/italia/env/ld/ihi/intervention/cn153a/10,https://w3id.org/italia/env/ld/ihi/agreement/cn153a/10
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0369/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_0369/xm
https://w3id.org/italia/env/ld/ihi/intervention/pz077a/10,https://w3id.org/italia/env/ld/ihi/agreement/pz077a/10
https://w3id.org/italia/env/ld/ihi/intervention/277/07,https://w3id.org/italia/env/ld/ihi/agreement/277/07
https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0057/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@22_0057/xm
https://w3id.org/italia/env/ld/ihi/intervention/286/02,https://w3id.org/italia/env/ld/ihi/agreement/286/02
https://w3id.org/italia/env/ld/ihi/intervention/ab25ir002/ww,https://w3id.org/italia/env/ld/ihi/agreement/ab25ir002/ww
https://w3id.org/italia/env/ld/ihi/intervention/me133b/10,https://w3id.org/italia/env/ld/ihi/agreement/me133b/10
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5897/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_5897/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1585/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1585/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4575/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4575/xm
https://w3id.org/italia/env/ld/ihi/intervention/410/06,https://w3id.org/italia/env/ld/ihi/agreement/410/06
https://w3id.org/italia/env/ld/ihi/intervention/276/99,https://w3id.org/italia/env/ld/ihi/agreement/276/99
https://w3id.org/italia/env/ld/ihi/intervention/mt096a/10,https://w3id.org/italia/env/ld/ihi/agreement/mt096a/10
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4915/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_4915/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4067/xm,https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4067/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1014/xm,https://w3id.org/italia/env/ld/ihi/agreement/dpc@19_1014/xm
